industry,num_firms,average_unlevered_beta,average_levered_beta,average_corr_market,total_unlevered_beta,total_levered_beta,region_id
Advertising,41,0.91018199,1.362998832,0.183747817,4.953430223,7.417768843,US
Aerospace/Defense,96,0.937032351,1.074487468,0.303465672,3.087770504,3.540721627,US
Air Transport,18,0.760812229,1.122088785,0.33710456,2.25690281,3.328607554,US
Apparel,58,0.705230954,0.880540498,0.239039143,2.950273941,3.683666562,US
Auto & Truck,15,0.379283292,0.845010784,0.34418758,1.101966817,2.455087961,US
Auto Parts,63,0.936712235,1.122629713,0.267819327,3.497552791,4.191742715,US
Bank (Money Center),10,0.405268264,0.860228972,0.440338934,0.920355282,1.953561009,US
Banks (Regional),645,0.364389118,0.471938211,0.268578061,1.35673449,1.757173349,US
Beverage (Alcoholic),25,0.710137236,0.792801661,0.220417671,3.221779964,3.596815343,US
Beverage (Soft),36,0.778105563,0.911339119,0.173227738,4.491806982,5.260930666,US
Broadcasting,30,0.700040041,1.220010347,0.423627913,1.652487997,2.879910198,US
Brokerage & Investment Banking,45,0.421270893,1.076942368,0.36207175,1.163501137,2.97438938,US
Building Materials,41,0.869529401,1.006784289,0.374961398,2.318983782,2.685034498,US
Business & Consumer Services,165,0.849144305,1.070528005,0.263725243,3.219806703,4.059254976,US
Cable TV,14,0.820249671,1.115739037,0.377358458,2.173661815,2.956708703,US
Chemical (Basic),45,0.677735227,1.002633463,0.259428897,2.612412245,3.864771714,US
Chemical (Diversified),8,1.219795228,1.518895861,0.465414081,2.620881657,3.263536543,US
Chemical (Specialty),100,0.981503328,1.198054185,0.320034894,3.066863479,3.743511122,US
Coal & Related Energy,38,0.605403379,1.363240792,0.176284349,3.434243499,7.733192423,US
Computer Services,117,0.830712187,0.985286934,0.259283087,3.20388112,3.800043209,US
Computers/Peripherals,55,0.943768496,1.055442804,0.2457863,3.839792926,4.294148226,US
Construction Supplies,51,1.023859879,1.314828594,0.393130597,2.604375966,3.344508426,US
Diversified,24,0.629306272,0.764571368,0.416629155,1.510471038,1.835136497,US
Drugs (Biotechnology),426,1.245933107,1.402457498,0.220235208,5.657283947,6.367998608,US
